snapshot_week,snapshot_timestamp,season,team,live_market_score,live_rank,current_gini_score,performance_score,roster_score,projected_wins,projected_wins_low,projected_wins_high,most_likely_quadrant,highest_quadrant_probability,q1_probability,q2_probability,q3_probability,q4_probability
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,LA,97.99247519759926,1,121.6401845473727,104.31826902380016,82.83929168293396,10.884465555519382,8,13,Q4 - Super Bowl Contenders,0.8066807705612218,0.0100826082878297,0.1077573505038774,0.0754792706470711,0.8066807705612218
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,SEA,96.95822128919812,2,121.2319320501729,103.95382058052192,83.82968209791673,10.925594120792194,8,13,Q3 - Playoff Contenders,0.3651235186370761,0.1348764813629238,0.1348764813629238,0.3651235186370761,0.3651235186370761
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,BUF,91.7557724588598,3,112.81513044856833,96.44011212282348,84.04868603586002,9.81234281178895,7,12,Q4 - Super Bowl Contenders,0.5224542095785557,0.0558954621689257,0.3342935014535675,0.087356826798951,0.5224542095785557
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,HOU,91.57996643908464,4,112.97972637598858,96.58704748740716,82.94841289365459,9.0161525584687,7,12,Q4 - Super Bowl Contenders,0.5738324414023795,0.0553122632605201,0.2368420566763035,0.1340132386607967,0.5738324414023795
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,NE,91.03831631863116,5,112.97646871688808,96.5841393636454,84.21215927093455,9.427510897950755,7,12,Q2 - Middle Tier,0.3509642598885381,0.1878576311070491,0.3509642598885381,0.1607875042268967,0.3003906047775161
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,JAX,89.67056787340383,6,111.41324563800968,95.18864461100696,83.73053948460718,9.594686795796498,7,12,Q2 - Middle Tier,0.4725700464169919,0.2529485181204446,0.4725700464169919,0.0956966172135011,0.1787848182490622
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,DEN,87.94443827275877,7,108.2594753572594,92.3732627648204,83.54306079866106,9.060772047774828,7,12,Q3 - Playoff Contenders,0.6443220554627448,0.2798197645160116,0.0229690049852364,0.6443220554627448,0.052889175036007
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,DET,87.3332568700118,8,106.31104284858924,90.63389019640218,84.3303216867916,9.186775260236615,7,12,Q3 - Playoff Contenders,0.7023212493577192,0.1647145104444515,0.0252597882880874,0.7023212493577192,0.1077044519097417
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,PHI,86.63853448626992,9,105.853284416661,90.22524763069096,82.85315901239275,8.376208194924006,6,11,Q4 - Super Bowl Contenders,0.3837189788637873,0.1432551665574667,0.2676358858022669,0.205389968776479,0.3837189788637873
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,GB,85.57755123035979,10,106.41019207245697,90.72240105803483,83.14650888827386,9.01955683611545,7,12,Q1 - Non-Contenders,0.6739467757277202,0.6739467757277202,0.1033530854469709,0.1930889840744505,0.0296111547508582
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,IND,84.86586478554322,11,105.79376389337864,90.172113449756,84.36134517183865,9.22875707333997,7,12,Q1 - Non-Contenders,0.9029074715317804,0.9029074715317804,0.0212343484469761,0.0741151585581941,0.0017430214630494
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,LAC,84.28936033912987,12,103.72679453560148,88.32692261831559,82.25119177715433,7.922056113593156,5,10,Q3 - Playoff Contenders,0.5476534219695107,0.4102588501148705,0.0180255158659125,0.5476534219695107,0.0240622120497063
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,BAL,83.64895917298627,13,102.09881459343136,86.87361918555852,83.9327938934677,8.867268869476543,6,11,Q1 - Non-Contenders,0.5082592684541488,0.5082592684541488,0.0063980399673362,0.4793090806926654,0.0060336108858495
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,KC,83.62362899248049,14,104.4060018481202,88.93325338030357,84.07389451743545,8.838003383335977,6,11,Q1 - Non-Contenders,0.9961115038573138,0.9961115038573138,0.0002948935612659,0.0035925390291729,1.0635522471102318e-06
2026-W22,2026-05-27T16:23:05.660462-04:00,2026,CHI,83.01082062048995,15,102.7283234489908,87.43558395983946,85.191866142592,7.973021640510994,5,10,Q1 - Non-Contenders,0.7593230611110748,0.7593230611110748,0.0333623269347598,0.1985892109733063,0.008725400980859
